Date,Station,Watershed,E.coli,Nitrite,Ammonia,Total Phosphorus,Total Soluble Phosphorus,Ortho-Phosphorus,BOD5,TSS,Chlorophyll a,Phaeophytin a,Hardness,Alkalinity,Turbidity,Dissolved Oxygen,Cadmium,Chromium,Copper,Iron,Lead,Mercury,Zinc,Arsenic,Selenium,Phytoplankton,Zooplankton,Temperature,pH,Seechi Depth,sum
1/10/2012,ANA29,Anacostia,67,,,,,,1.2,4,2.3,,130,84,4.2,13.9,,,,,,,,,,,,3.6,7.9,0.8,318.9
2/7/2012,ANA29,Anacostia,10,,,,,,1.2,6,0.4,,130,82,,12.8,,,,,,,,,,,,5.7,8.1,2,258.2
3/13/2012,ANA29,Anacostia,12,0.021,0.026,,,,,10,0.8,,104,70,4.7,11.8,,,,,,,,,,,,10.2,7.7,1.2,232.447
4/10/2012,ANA29,Anacostia,,,,,,,1.4,10,3.1,,124,86,4.7,9.8,,,,,,,,,,,,14.9,8.1,0.9,262.9
5/8/2012,ANA29,Anacostia,20,,0.082,,,,2,12,5.1,,124,92,4.8,7.8,,,,,,,,,,,,20.7,0,0.7,289.182
6/19/2012,ANA29,Anacostia,7,0.014,,,,,1.4,,7.2,,134,94,4,8.4,,,,,,,,,,,,24.8,8.2,0.8,289.814
7/17/2012,ANA29,Anacostia,1,0.026,,,,,2.1,,14.5,,122,86,3.3,9.2,,,,,,,,,,,,30.9,8.1,0.8,277.926
8/14/2012,ANA29,Anacostia,12,0.024,0.055,,,,2.5,,7.2,,124,90,3.6,6.7,,,,,,,,,,,,29.3,7.2,0.9,283.479
9/11/2012,ANA29,Anacostia,8,0.032,,,,,1.5,4,9.6,,132,92,2.8,8.8,,,,,,,,,,,,26.2,7.4,0.8,293.132
10/15/2012,ANA29,Anacostia,,0.016,,,,,,25,7.3,,132,96,22.7,9,,,,,,,,,,,,17,7.3,0.9,317.216
11/19/2012,ANA29,Anacostia,517,,,,,,,4,0.3,,140,104,2.4,10.6,,,,,,,,,,,,8.5,7.6,1.4,795.8
12/11/2012,ANA29,Anacostia,344,,,,,,1.3,,0.5,,164,106,1.1,10.5,,,,,,,,,,,,8.1,7.4,1.6,644.5
1/15/2013,ANA29,Anacostia,64,,,,,,,17,1.6,,130,86,21.8,12.59,,,,,,,,,,,,5.89,8.65,1.7,349.23
2/12/2013,ANA29,Anacostia,50,,0.035,,,,1.2,,0.3,,110,72,6.6,12.91,,,,,,,,,,,,3.99,8.73,1,266.765
3/12/2013,ANA29,Anacostia,7,,,,,,2.7,,2.1,,,,1.7,12.69,,,,,,,,,,,,7.88,8.34,1,43.41
4/9/2013,ANA29,Anacostia,7,,0.025,,,,,,0.9,,106,72,1.4,11.1,,,,,,,,,,,,12.67,8.33,1.7,221.125
5/7/2013,ANA29,Anacostia,32,0.019,0.102,,,,,5,2.5,,112,80,3.6,8.8,,,,,,,,,,,,17.5,8.2,0.9,270.621
6/18/2013,ANA29,Anacostia,,,0.021,,,,,9,2.2,,112,84,8.5,8.07,,,,,,,,,,,,24.31,7.8,0.8,256.701
7/15/2013,ANA29,Anacostia,66,,,,,,,7,1.3,,134,96,4.3,7.86,,,,,,,,,,,,28.93,7.78,1.1,354.27
8/13/2013,ANA29,Anacostia,29,,0.015,,,,1.6,,4.9,,132,98,2.1,7.14,,,,,,,,,,,,27.29,8.2,0.9,311.145
9/10/2013,ANA29,Anacostia,13,,0.039,,,,1.5,9,4.8,,148,96,8.5,7.1,,,,,,,,,,,,25.19,7.67,0.8,321.599
10/8/2013,ANA29,Anacostia,,,,,,,,,2.1,,140,96,1.7,7.41,,,,,,,,,,,,21.52,7.76,0.9,277.39
11/18/2013,ANA29,Anacostia,35,,0.084,,,,1.3,13,2.6,,164,118,3.6,10.51,,,,,,,,,,,,9.97,7.85,1.4,367.314
12/16/2013,ANA29,Anacostia,488,,,,,,,20,2.4,,108,68,7.3,13.31,,,,,,,,,,,,2.96,7.5,0.8,718.27
1/14/2014,ANA29,Anacostia,770,0.022,0.076,,,,2.2,16,4.7,,108,70,41.2,13.3,,,,,,,,,,,,3.5,7.3,0.2,1036.498
